transaction_id,customer_id,date,category,merchant,amount,payment_method,description
TXN00000006,CUST01001,2025-10-09,healthcare,Fortis Hospital,11609,debit_card,Fortis Hospital - Healthcare
TXN00000021,CUST01001,2025-10-11,education,Coursera,8745,credit_card,Coursera - Education
TXN00000026,CUST01001,2025-10-11,food_dining,McDonald's,317,credit_card,McDonald's - Food Dining
TXN00000007,CUST01001,2025-10-13,food_dining,Domino's,1986,debit_card,Domino's - Food Dining
TXN00000045,CUST01001,2025-10-14,utilities,Water Bill,539,credit_card,Water Bill - Utilities
TXN00000047,CUST01001,2025-10-14,food_dining,Zomato,285,credit_card,Zomato - Food Dining
TXN00000005,CUST01001,2025-10-18,investment,Zerodha,36849,upi,Zerodha - Investment
TXN00000030,CUST01001,2025-10-18,groceries,Spencer's,1825,debit_card,Spencer's - Groceries
TXN00000014,CUST01001,2025-10-19,entertainment,Netflix,2137,upi,Netflix - Entertainment
TXN00000002,CUST01001,2025-10-28,groceries,More Supermarket,7746,credit_card,More Supermarket - Groceries
TXN00000050,CUST01001,2025-10-31,healthcare,Fortis Hospital,14965,credit_card,Fortis Hospital - Healthcare
TXN00000017,CUST01001,2025-11-07,food_dining,Starbucks,1691,credit_card,Starbucks - Food Dining
TXN00000038,CUST01001,2025-11-09,travel,IndiGo Airlines,18473,credit_card,IndiGo Airlines - Travel
TXN00000039,CUST01001,2025-11-11,food_dining,Zomato,741,credit_card,Zomato - Food Dining
TXN00000009,CUST01001,2025-11-13,utilities,Mobile Recharge,2619,debit_card,Mobile Recharge - Utilities
TXN00000029,CUST01001,2025-11-14,fuel,Shell,1491,upi,Shell - Fuel
TXN00000046,CUST01001,2025-11-18,fuel,Indian Oil,4418,credit_card,Indian Oil - Fuel
TXN00000024,CUST01001,2025-11-20,investment,Fixed Deposit,48376,upi,Fixed Deposit - Investment
TXN00000088,CUST01002,2025-05-27,investment,Paytm Money,30558,upi,Paytm Money - Investment
TXN00000084,CUST01002,2025-06-15,food_dining,Zomato,984,debit_card,Zomato - Food Dining
TXN00000058,CUST01002,2025-06-24,fuel,Bharat Petroleum,1731,debit_card,Bharat Petroleum - Fuel
TXN00000075,CUST01002,2025-07-02,utilities,Electricity Bill,936,upi,Electricity Bill - Utilities
TXN00000070,CUST01002,2025-07-08,utilities,Internet Bill,2611,debit_card,Internet Bill - Utilities
TXN00000072,CUST01002,2025-07-15,food_dining,Swiggy,701,netbanking,Swiggy - Food Dining
TXN00000076,CUST01002,2025-07-21,food_dining,Cafe Coffee Day,1260,debit_card,Cafe Coffee Day - Food Dining
TXN00000090,CUST01002,2025-07-21,travel,MakeMyTrip,14581,debit_card,MakeMyTrip - Travel
TXN00000059,CUST01002,2025-08-01,food_dining,Domino's,1089,credit_card,Domino's - Food Dining
TXN00000083,CUST01002,2025-08-07,groceries,More Supermarket,4119,upi,More Supermarket - Groceries
TXN00000064,CUST01002,2025-08-10,travel,IndiGo Airlines,13682,credit_card,IndiGo Airlines - Travel
TXN00000060,CUST01002,2025-08-14,shopping,Pantaloons,2394,credit_card,Pantaloons - Shopping
TXN00000066,CUST01002,2025-08-31,utilities,Gas Bill,3021,debit_card,Gas Bill - Utilities
TXN00000091,CUST01002,2025-09-02,shopping,Westside,12364,credit_card,Westside - Shopping
TXN00000067,CUST01002,2025-09-06,entertainment,BookMyShow,1444,credit_card,BookMyShow - Entertainment
TXN00000089,CUST01002,2025-09-10,travel,IndiGo Airlines,18195,upi,IndiGo Airlines - Travel
TXN00000068,CUST01002,2025-09-13,healthcare,PharmEasy,11526,credit_card,PharmEasy - Healthcare
TXN00000069,CUST01002,2025-09-16,shopping,Flipkart,8875,debit_card,Flipkart - Shopping
TXN00000079,CUST01002,2025-09-16,entertainment,PVR Cinemas,1947,upi,PVR Cinemas - Entertainment
TXN00000081,CUST01002,2025-09-18,groceries,DMart,6723,credit_card,DMart - Groceries
TXN00000078,CUST01002,2025-09-21,utilities,Water Bill,2938,credit_card,Water Bill - Utilities
TXN00000086,CUST01002,2025-09-22,shopping,Flipkart,14146,debit_card,Flipkart - Shopping
TXN00000092,CUST01002,2025-09-22,fuel,Indian Oil,4714,credit_card,Indian Oil - Fuel
TXN00000062,CUST01002,2025-10-06,fuel,HP Petrol,2491,debit_card,HP Petrol - Fuel
TXN00000082,CUST01002,2025-10-06,travel,Ola,9298,debit_card,Ola - Travel
TXN00000080,CUST01002,2025-10-13,travel,Ola,24668,upi,Ola - Travel
TXN00000077,CUST01002,2025-10-15,groceries,Big Bazaar,5239,credit_card,Big Bazaar - Groceries
TXN00000093,CUST01002,2025-10-17,utilities,Electricity Bill,3132,debit_card,Electricity Bill - Utilities
TXN00000061,CUST01002,2025-10-20,groceries,Big Bazaar,7306,debit_card,Big Bazaar - Groceries
TXN00000087,CUST01002,2025-10-22,investment,Zerodha,42728,credit_card,Zerodha - Investment
TXN00000073,CUST01002,2025-10-29,fuel,Indian Oil,2865,debit_card,Indian Oil - Fuel
TXN00000071,CUST01002,2025-10-31,shopping,Flipkart,11523,credit_card,Flipkart - Shopping
TXN00000074,CUST01002,2025-11-03,entertainment,Spotify,2224,credit_card,Spotify - Entertainment
TXN00000063,CUST01002,2025-11-12,fuel,Bharat Petroleum,3717,upi,Bharat Petroleum - Fuel
TXN00000057,CUST01002,2025-11-15,investment,Fixed Deposit,26702,upi,Fixed Deposit - Investment
TXN00000065,CUST01002,2025-11-20,groceries,DMart,3071,debit_card,DMart - Groceries
TXN00000085,CUST01002,2025-11-22,groceries,Reliance Fresh,4839,credit_card,Reliance Fresh - Groceries
TXN00000108,CUST01003,2025-05-29,fuel,Shell,1432,debit_card,Shell - Fuel
TXN00000099,CUST01003,2025-05-31,utilities,Gas Bill,1017,debit_card,Gas Bill - Utilities
TXN00000130,CUST01003,2025-06-08,groceries,Reliance Fresh,2434,upi,Reliance Fresh - Groceries
TXN00000155,CUST01003,2025-06-17,groceries,More Supermarket,2449,netbanking,More Supermarket - Groceries
TXN00000119,CUST01003,2025-06-18,groceries,Reliance Fresh,7167,credit_card,Reliance Fresh - Groceries
TXN00000152,CUST01003,2025-06-18,travel,Goibibo,11221,credit_card,Goibibo - Travel
TXN00000105,CUST01003,2025-06-21,utilities,Internet Bill,3302,debit_card,Internet Bill - Utilities
TXN00000153,CUST01003,2025-06-21,fuel,Bharat Petroleum,2686,debit_card,Bharat Petroleum - Fuel
TXN00000100,CUST01003,2025-06-24,entertainment,Netflix,2104,debit_card,Netflix - Entertainment
TXN00000106,CUST01003,2025-06-25,education,Unacademy,2345,credit_card,Unacademy - Education
TXN00000160,CUST01003,2025-06-26,food_dining,Cafe Coffee Day,1446,upi,Cafe Coffee Day - Food Dining
TXN00000128,CUST01003,2025-06-27,utilities,Mobile Recharge,920,upi,Mobile Recharge - Utilities
TXN00000159,CUST01003,2025-06-28,fuel,Shell,4607,debit_card,Shell - Fuel
TXN00000132,CUST01003,2025-07-03,food_dining,Domino's,822,credit_card,Domino's - Food Dining
TXN00000102,CUST01003,2025-07-06,investment,Zerodha,42924,credit_card,Zerodha - Investment
TXN00000150,CUST01003,2025-07-09,travel,IndiGo Airlines,14790,upi,IndiGo Airlines - Travel
TXN00000110,CUST01003,2025-07-10,utilities,Internet Bill,3022,upi,Internet Bill - Utilities
TXN00000151,CUST01003,2025-07-11,investment,Mutual Fund SIP,46601,upi,Mutual Fund SIP - Investment
TXN00000117,CUST01003,2025-07-13,food_dining,Cafe Coffee Day,1032,debit_card,Cafe Coffee Day - Food Dining
TXN00000123,CUST01003,2025-07-14,groceries,Spencer's,7743,debit_card,Spencer's - Groceries
TXN00000124,CUST01003,2025-07-14,groceries,Reliance Fresh,3765,upi,Reliance Fresh - Groceries
TXN00000104,CUST01003,2025-07-15,food_dining,Cafe Coffee Day,1901,debit_card,Cafe Coffee Day - Food Dining
TXN00000142,CUST01003,2025-07-15,shopping,Pantaloons,4183,debit_card,Pantaloons - Shopping
TXN00000137,CUST01003,2025-07-18,utilities,Internet Bill,3205,credit_card,Internet Bill - Utilities
TXN00000118,CUST01003,2025-07-26,utilities,Mobile Recharge,2335,upi,Mobile Recharge - Utilities
TXN00000138,CUST01003,2025-07-26,food_dining,Swiggy,520,credit_card,Swiggy - Food Dining
TXN00000133,CUST01003,2025-07-28,food_dining,Starbucks,1441,debit_card,Starbucks - Food Dining
TXN00000141,CUST01003,2025-08-01,healthcare,PharmEasy,11632,upi,PharmEasy - Healthcare
TXN00000143,CUST01003,2025-08-02,education,Coursera,2954,credit_card,Coursera - Education
TXN00000127,CUST01003,2025-08-04,food_dining,Swiggy,1333,credit_card,Swiggy - Food Dining
TXN00000140,CUST01003,2025-08-07,utilities,Mobile Recharge,791,debit_card,Mobile Recharge - Utilities
TXN00000154,CUST01003,2025-08-07,utilities,Mobile Recharge,2753,credit_card,Mobile Recharge - Utilities
TXN00000144,CUST01003,2025-08-12,entertainment,PVR Cinemas,1382,debit_card,PVR Cinemas - Entertainment
TXN00000103,CUST01003,2025-08-13,entertainment,Spotify,1824,upi,Spotify - Entertainment
TXN00000147,CUST01003,2025-08-16,entertainment,BookMyShow,574,credit_card,BookMyShow - Entertainment
TXN00000109,CUST01003,2025-08-26,utilities,Mobile Recharge,3397,credit_card,Mobile Recharge - Utilities
TXN00000126,CUST01003,2025-08-26,food_dining,Swiggy,1650,debit_card,Swiggy - Food Dining
TXN00000101,CUST01003,2025-08-28,food_dining,Domino's,1731,upi,Domino's - Food Dining
TXN00000114,CUST01003,2025-08-31,shopping,Westside,14442,credit_card,Westside - Shopping
TXN00000131,CUST01003,2025-09-05,travel,IRCTC,20925,debit_card,IRCTC - Travel
TXN00000156,CUST01003,2025-09-06,fuel,Indian Oil,3693,upi,Indian Oil - Fuel
TXN00000096,CUST01003,2025-09-10,groceries,Big Bazaar,5352,credit_card,Big Bazaar - Groceries
TXN00000121,CUST01003,2025-09-11,investment,Fixed Deposit,26678,credit_card,Fixed Deposit - Investment
TXN00000107,CUST01003,2025-09-12,utilities,Electricity Bill,2572,debit_card,Electricity Bill - Utilities
TXN00000135,CUST01003,2025-09-16,groceries,Spencer's,5012,credit_card,Spencer's - Groceries
TXN00000113,CUST01003,2025-09-18,groceries,Reliance Fresh,6168,debit_card,Reliance Fresh - Groceries
TXN00000139,CUST01003,2025-09-18,utilities,Mobile Recharge,1692,credit_card,Mobile Recharge - Utilities
TXN00000095,CUST01003,2025-09-19,shopping,Westside,5058,upi,Westside - Shopping
TXN00000122,CUST01003,2025-09-19,groceries,More Supermarket,3388,credit_card,More Supermarket - Groceries
TXN00000094,CUST01003,2025-09-21,groceries,More Supermarket,4605,credit_card,More Supermarket - Groceries
TXN00000157,CUST01003,2025-09-21,shopping,Flipkart,8994,credit_card,Flipkart - Shopping
TXN00000145,CUST01003,2025-09-22,utilities,Mobile Recharge,1615,debit_card,Mobile Recharge - Utilities
TXN00000115,CUST01003,2025-09-27,groceries,More Supermarket,4288,credit_card,More Supermarket - Groceries
TXN00000146,CUST01003,2025-09-29,shopping,Pantaloons,1153,upi,Pantaloons - Shopping
TXN00000158,CUST01003,2025-09-30,utilities,Electricity Bill,1333,credit_card,Electricity Bill - Utilities
TXN00000125,CUST01003,2025-10-07,entertainment,BookMyShow,995,credit_card,BookMyShow - Entertainment
TXN00000111,CUST01003,2025-10-10,healthcare,Medlife,7936,upi,Medlife - Healthcare
TXN00000097,CUST01003,2025-10-11,food_dining,McDonald's,659,debit_card,McDonald's - Food Dining
TXN00000129,CUST01003,2025-10-19,groceries,Reliance Fresh,5108,credit_card,Reliance Fresh - Groceries
TXN00000112,CUST01003,2025-10-24,groceries,DMart,2209,credit_card,DMart - Groceries
TXN00000116,CUST01003,2025-10-25,utilities,Internet Bill,2776,credit_card,Internet Bill - Utilities
TXN00000134,CUST01003,2025-10-31,groceries,Spencer's,4616,debit_card,Spencer's - Groceries
TXN00000136,CUST01003,2025-10-31,food_dining,Cafe Coffee Day,403,upi,Cafe Coffee Day - Food Dining
TXN00000098,CUST01003,2025-11-08,food_dining,Swiggy,706,credit_card,Swiggy - Food Dining
TXN00000120,CUST01003,2025-11-11,entertainment,Spotify,2467,debit_card,Spotify - Entertainment
TXN00000148,CUST01003,2025-11-14,education,Unacademy,20238,netbanking,Unacademy - Education
TXN00000149,CUST01003,2025-11-14,education,Unacademy,2318,upi,Unacademy - Education
TXN00000186,CUST01004,2025-05-28,fuel,Shell,3556,debit_card,Shell - Fuel
TXN00000192,CUST01004,2025-06-07,fuel,Shell,3544,upi,Shell - Fuel
TXN00000205,CUST01004,2025-06-11,utilities,Mobile Recharge,3075,debit_card,Mobile Recharge - Utilities
TXN00000227,CUST01004,2025-06-11,food_dining,Domino's,2833,debit_card,Domino's - Food Dining
TXN00000200,CUST01004,2025-06-14,food_dining,Zomato,1867,netbanking,Zomato - Food Dining
TXN00000234,CUST01004,2025-06-16,food_dining,Swiggy,1766,upi,Swiggy - Food Dining
TXN00000232,CUST01004,2025-06-19,groceries,More Supermarket,5976,credit_card,More Supermarket - Groceries
TXN00000219,CUST01004,2025-06-23,utilities,Electricity Bill,1679,credit_card,Electricity Bill - Utilities
TXN00000206,CUST01004,2025-06-24,food_dining,Swiggy,1486,netbanking,Swiggy - Food Dining
TXN00000207,CUST01004,2025-06-24,food_dining,Domino's,795,credit_card,Domino's - Food Dining
TXN00000202,CUST01004,2025-06-26,travel,IndiGo Airlines,17541,debit_card,IndiGo Airlines - Travel
TXN00000213,CUST01004,2025-06-26,investment,Mutual Fund SIP,18015,debit_card,Mutual Fund SIP - Investment
TXN00000236,CUST01004,2025-06-26,shopping,Westside,2285,netbanking,Westside - Shopping
TXN00000173,CUST01004,2025-06-27,travel,IRCTC,22117,upi,IRCTC - Travel
TXN00000221,CUST01004,2025-06-27,healthcare,PharmEasy,4684,upi,PharmEasy - Healthcare
TXN00000196,CUST01004,2025-06-28,food_dining,McDonald's,1578,upi,McDonald's - Food Dining
TXN00000166,CUST01004,2025-06-29,fuel,Bharat Petroleum,4599,credit_card,Bharat Petroleum - Fuel
TXN00000185,CUST01004,2025-07-01,groceries,More Supermarket,9329,credit_card,More Supermarket - Groceries
TXN00000217,CUST01004,2025-07-02,healthcare,PharmEasy,1052,credit_card,PharmEasy - Healthcare
TXN00000218,CUST01004,2025-07-02,investment,Fixed Deposit,38853,upi,Fixed Deposit - Investment
TXN00000209,CUST01004,2025-07-04,fuel,Indian Oil,5208,debit_card,Indian Oil - Fuel
TXN00000233,CUST01004,2025-07-04,utilities,Mobile Recharge,1149,credit_card,Mobile Recharge - Utilities
TXN00000238,CUST01004,2025-07-04,utilities,Gas Bill,1486,credit_card,Gas Bill - Utilities
TXN00000161,CUST01004,2025-07-05,groceries,Big Bazaar,10848,debit_card,Big Bazaar - Groceries
TXN00000187,CUST01004,2025-07-05,food_dining,McDonald's,2646,credit_card,McDonald's - Food Dining
TXN00000197,CUST01004,2025-07-09,groceries,Spencer's,7794,debit_card,Spencer's - Groceries
TXN00000162,CUST01004,2025-07-22,investment,Zerodha,66482,upi,Zerodha - Investment
TXN00000193,CUST01004,2025-07-23,entertainment,Prime Video,2034,debit_card,Prime Video - Entertainment
TXN00000231,CUST01004,2025-07-23,shopping,Westside,13665,debit_card,Westside - Shopping
TXN00000211,CUST01004,2025-07-25,fuel,Indian Oil,6817,credit_card,Indian Oil - Fuel
TXN00000220,CUST01004,2025-07-25,entertainment,BookMyShow,1667,credit_card,BookMyShow - Entertainment
TXN00000215,CUST01004,2025-07-27,investment,Fixed Deposit,32896,credit_card,Fixed Deposit - Investment
TXN00000176,CUST01004,2025-08-01,shopping,Westside,21893,credit_card,Westside - Shopping
TXN00000164,CUST01004,2025-08-03,shopping,Westside,16073,credit_card,Westside - Shopping
TXN00000198,CUST01004,2025-08-03,education,School Fees,32778,netbanking,School Fees - Education
TXN00000210,CUST01004,2025-08-05,food_dining,McDonald's,1129,debit_card,McDonald's - Food Dining
TXN00000182,CUST01004,2025-08-09,shopping,Westside,5370,credit_card,Westside - Shopping
TXN00000199,CUST01004,2025-08-09,healthcare,Max Healthcare,4733,debit_card,Max Healthcare - Healthcare
TXN00000181,CUST01004,2025-08-10,fuel,Indian Oil,3857,upi,Indian Oil - Fuel
TXN00000242,CUST01004,2025-08-13,fuel,Bharat Petroleum,1250,credit_card,Bharat Petroleum - Fuel
TXN00000170,CUST01004,2025-08-16,fuel,HP Petrol,5884,credit_card,HP Petrol - Fuel
TXN00000228,CUST01004,2025-08-17,shopping,Pantaloons,17985,credit_card,Pantaloons - Shopping
TXN00000177,CUST01004,2025-08-18,fuel,Shell,3794,debit_card,Shell - Fuel
TXN00000190,CUST01004,2025-08-25,entertainment,Prime Video,419,netbanking,Prime Video - Entertainment
TXN00000208,CUST01004,2025-08-28,utilities,Water Bill,4033,debit_card,Water Bill - Utilities
TXN00000172,CUST01004,2025-08-31,shopping,Flipkart,16830,netbanking,Flipkart - Shopping
TXN00000189,CUST01004,2025-09-01,fuel,Indian Oil,3143,credit_card,Indian Oil - Fuel
TXN00000175,CUST01004,2025-09-07,fuel,HP Petrol,1812,debit_card,HP Petrol - Fuel
TXN00000171,CUST01004,2025-09-08,food_dining,Cafe Coffee Day,2177,upi,Cafe Coffee Day - Food Dining
TXN00000183,CUST01004,2025-09-08,entertainment,Netflix,1632,credit_card,Netflix - Entertainment
TXN00000188,CUST01004,2025-09-11,utilities,Mobile Recharge,3074,credit_card,Mobile Recharge - Utilities
TXN00000240,CUST01004,2025-09-12,fuel,Indian Oil,6188,upi,Indian Oil - Fuel
TXN00000180,CUST01004,2025-09-14,investment,Zerodha,64153,credit_card,Zerodha - Investment
TXN00000174,CUST01004,2025-09-15,food_dining,Starbucks,302,upi,Starbucks - Food Dining
TXN00000226,CUST01004,2025-09-16,food_dining,Swiggy,1559,debit_card,Swiggy - Food Dining
TXN00000223,CUST01004,2025-09-18,travel,IRCTC,3201,upi,IRCTC - Travel
TXN00000222,CUST01004,2025-09-24,travel,MakeMyTrip,33995,debit_card,MakeMyTrip - Travel
TXN00000225,CUST01004,2025-09-25,fuel,Shell,6820,credit_card,Shell - Fuel
TXN00000169,CUST01004,2025-09-26,shopping,Pantaloons,18407,credit_card,Pantaloons - Shopping
TXN00000178,CUST01004,2025-09-27,fuel,Indian Oil,6258,credit_card,Indian Oil - Fuel
TXN00000167,CUST01004,2025-10-02,groceries,Big Bazaar,6434,upi,Big Bazaar - Groceries
TXN00000229,CUST01004,2025-10-02,entertainment,BookMyShow,1177,upi,BookMyShow - Entertainment
TXN00000165,CUST01004,2025-10-14,food_dining,Zomato,2695,debit_card,Zomato - Food Dining
TXN00000216,CUST01004,2025-10-14,groceries,DMart,5617,credit_card,DMart - Groceries
TXN00000201,CUST01004,2025-10-15,shopping,Westside,1056,credit_card,Westside - Shopping
TXN00000235,CUST01004,2025-10-15,food_dining,Domino's,2540,credit_card,Domino's - Food Dining
TXN00000239,CUST01004,2025-10-15,shopping,Myntra,19412,credit_card,Myntra - Shopping
TXN00000168,CUST01004,2025-10-23,entertainment,Spotify,1457,debit_card,Spotify - Entertainment
TXN00000237,CUST01004,2025-10-26,groceries,Big Bazaar,11268,debit_card,Big Bazaar - Groceries
TXN00000184,CUST01004,2025-10-29,fuel,HP Petrol,5276,upi,HP Petrol - Fuel
TXN00000194,CUST01004,2025-10-31,groceries,DMart,3391,upi,DMart - Groceries
TXN00000204,CUST01004,2025-10-31,fuel,Bharat Petroleum,6197,credit_card,Bharat Petroleum - Fuel
TXN00000179,CUST01004,2025-11-03,utilities,Internet Bill,2463,upi,Internet Bill - Utilities
TXN00000203,CUST01004,2025-11-05,investment,Zerodha,36647,debit_card,Zerodha - Investment
TXN00000214,CUST01004,2025-11-06,utilities,Electricity Bill,1014,upi,Electricity Bill - Utilities
TXN00000163,CUST01004,2025-11-07,education,Byju's,20327,debit_card,Byju's - Education
TXN00000195,CUST01004,2025-11-07,food_dining,Starbucks,376,debit_card,Starbucks - Food Dining
TXN00000212,CUST01004,2025-11-07,shopping,Westside,9640,credit_card,Westside - Shopping
TXN00000230,CUST01004,2025-11-08,fuel,HP Petrol,4723,debit_card,HP Petrol - Fuel
TXN00000191,CUST01004,2025-11-10,shopping,Amazon,19144,upi,Amazon - Shopping
TXN00000224,CUST01004,2025-11-10,travel,Goibibo,2401,credit_card,Goibibo - Travel
TXN00000241,CUST01004,2025-11-19,groceries,DMart,6277,upi,DMart - Groceries
TXN00000253,CUST01005,2025-05-27,travel,Goibibo,11874,credit_card,Goibibo - Travel
TXN00000304,CUST01005,2025-05-27,fuel,Indian Oil,3296,credit_card,Indian Oil - Fuel
TXN00000258,CUST01005,2025-05-31,investment,Groww,66305,upi,Groww - Investment
TXN00000244,CUST01005,2025-06-02,food_dining,Domino's,1121,credit_card,Domino's - Food Dining
TXN00000272,CUST01005,2025-06-05,travel,IRCTC,12696,credit_card,IRCTC - Travel
TXN00000275,CUST01005,2025-06-05,groceries,Reliance Fresh,8999,debit_card,Reliance Fresh - Groceries
TXN00000278,CUST01005,2025-06-19,entertainment,Spotify,2567,credit_card,Spotify - Entertainment
TXN00000262,CUST01005,2025-06-24,travel,Ola,23256,credit_card,Ola - Travel
TXN00000286,CUST01005,2025-06-30,food_dining,McDonald's,654,debit_card,McDonald's - Food Dining
TXN00000295,CUST01005,2025-06-30,fuel,Indian Oil,6452,debit_card,Indian Oil - Fuel
TXN00000305,CUST01005,2025-07-03,entertainment,PVR Cinemas,3707,credit_card,PVR Cinemas - Entertainment
TXN00000264,CUST01005,2025-07-15,food_dining,Zomato,2924,credit_card,Zomato - Food Dining
TXN00000252,CUST01005,2025-07-19,healthcare,Max Healthcare,10444,credit_card,Max Healthcare - Healthcare
TXN00000285,CUST01005,2025-07-19,shopping,Westside,6891,credit_card,Westside - Shopping
TXN00000261,CUST01005,2025-07-21,shopping,Flipkart,3102,debit_card,Flipkart - Shopping
TXN00000299,CUST01005,2025-07-21,education,School Fees,2947,debit_card,School Fees - Education
TXN00000297,CUST01005,2025-08-06,food_dining,Zomato,1357,debit_card,Zomato - Food Dining
TXN00000306,CUST01005,2025-08-07,groceries,Big Bazaar,2582,credit_card,Big Bazaar - Groceries
TXN00000277,CUST01005,2025-08-20,utilities,Electricity Bill,3341,credit_card,Electricity Bill - Utilities
TXN00000274,CUST01005,2025-08-21,investment,Zerodha,72132,debit_card,Zerodha - Investment
TXN00000255,CUST01005,2025-08-24,food_dining,Cafe Coffee Day,413,debit_card,Cafe Coffee Day - Food Dining
TXN00000259,CUST01005,2025-08-26,food_dining,Swiggy,1236,debit_card,Swiggy - Food Dining
TXN00000290,CUST01005,2025-08-27,utilities,Gas Bill,4238,debit_card,Gas Bill - Utilities
TXN00000270,CUST01005,2025-08-28,education,Coursera,7117,debit_card,Coursera - Education
TXN00000296,CUST01005,2025-08-29,entertainment,BookMyShow,4466,upi,BookMyShow - Entertainment
TXN00000301,CUST01005,2025-08-29,groceries,More Supermarket,3423,upi,More Supermarket - Groceries
TXN00000282,CUST01005,2025-08-30,utilities,Internet Bill,1646,debit_card,Internet Bill - Utilities
TXN00000251,CUST01005,2025-09-04,investment,Zerodha,7007,credit_card,Zerodha - Investment
TXN00000300,CUST01005,2025-09-04,travel,Ola,25667,netbanking,Ola - Travel
TXN00000260,CUST01005,2025-09-05,travel,Goibibo,20694,upi,Goibibo - Travel
TXN00000257,CUST01005,2025-09-06,utilities,Mobile Recharge,2971,credit_card,Mobile Recharge - Utilities
TXN00000248,CUST01005,2025-09-11,travel,Goibibo,27503,credit_card,Goibibo - Travel
TXN00000291,CUST01005,2025-09-17,groceries,DMart,6870,netbanking,DMart - Groceries
TXN00000245,CUST01005,2025-09-19,shopping,Myntra,10811,upi,Myntra - Shopping
TXN00000256,CUST01005,2025-09-20,fuel,Bharat Petroleum,5916,debit_card,Bharat Petroleum - Fuel
TXN00000292,CUST01005,2025-09-23,fuel,HP Petrol,4213,debit_card,HP Petrol - Fuel
