investment_id,customer_id,product_type,product_name,purchase_date,invested_amount,current_value,units,purchase_nav,current_nav,returns_absolute,returns_percentage,risk_level
INV0000109,CUST01019,equity_mutual_fund,Axis Bluechip Fund,2023-01-23,115104,195937,1235.6399,93.15,158.57,80833,70.23,high
INV0000113,CUST01019,hybrid_fund,Kotak Balanced Fund,2023-02-18,185219,260312,944.3261,196.14,275.66,75093,40.54,medium
INV0000115,CUST01019,debt_mutual_fund,SBI Magnum Income Fund,2023-04-07,135378,158487,1382.0828,97.95,114.67,23109,17.07,low
INV0000114,CUST01019,equity_mutual_fund,HDFC Top 100 Fund,2023-06-17,245665,394990,4667.6188,52.63,84.62,149325,60.78,high
INV0000112,CUST01019,nps,NPS Active Choice,2023-11-18,440891,541467,0.0,0.0,0.0,100576,22.81,medium
INV0000111,CUST01019,hybrid_fund,HDFC Balanced Advantage Fund,2024-02-13,112576,137574,575.5602,195.59,239.03,24998,22.21,medium
INV0000116,CUST01020,stocks,Wipro,2024-01-31,37770,42452,0.0,0.0,0.0,4682,12.4,high
INV0000119,CUST01020,hybrid_fund,SBI Equity Hybrid Fund,2024-02-19,103924,129073,678.1249,153.25,190.34,25149,24.2,medium
INV0000117,CUST01020,equity_mutual_fund,HDFC Top 100 Fund,2024-05-08,159707,216936,2061.0779,77.49,105.25,57229,35.83,high
INV0000118,CUST01020,stocks,TCS,2024-06-04,181961,228421,0.0,0.0,0.0,46460,25.53,high
